Serial_Num,Temperature,Time
1,26.7,0
2,26.1,20
3,26.1,30
4,23.8,40
5,20.8,50
6,20.8,60
7,17.6,70
8,17.6,80
9,14.5,90
10,14.5,100
11,11.6,110
12,11.6,120
13,8.9,130
14,6.5,140
15,6.5,150
16,4.3,170
17,4.3,180
18,2.3,190
19,2.3,200
20,1.7,210
21,1.3,220
22,1.3,230
23,0.5,240
24,0.5,250
25,-0.5,260
26,-1.8,270
27,-1.8,280
28,-4.1,290
29,-4.1,300
30,-5.9,310
31,-5.9,320
32,-7.3,330
33,-8.7,340
34,-8.7,350
35,-9.9,360
36,-9.9,370
37,-10.9,380
38,-12,390
39,-12,400
40,-13,410
41,-13,420
42,-14,430
43,-14,440
44,-14.7,450
45,-15.7,460
46,-15.7,470
47,-16.4,480
48,-16.4,490
49,-17.1,500
50,-17.1,510
51,-17.7,520
52,-18.3,530
53,-18.9,540
54,-18.9,550
55,-19.4,560
56,-19.4,570
57,-20,580
58,-20.5,590
59,-20.5,600
60,-21,610
61,-21,620
62,-21.4,630
63,-21.4,640
64,-21.9,650
65,-22.3,660
66,-22.3,670
67,-22.9,680
68,-22.9,690
69,-23.2,700
70,-23.5,710
71,-24.2,720
72,-24.2,730
73,-24.5,740
74,-25,750
75,-25,760
76,-25.2,770
77,-25.2,780
78,-25.5,790
79,-25.5,800
80,-25.9,810
81,-26.2,820
82,-26.2,830
83,-26.3,840
84,-26.3,850
85,-26.7,860
86,-26.7,870
87,-26.8,880
88,-27.1,890
89,-27.1,900
90,-27.1,910
91,-27.1,920
92,-27.5,930
93,-27.6,940
94,-27.6,950
